 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO56647,HUUS,FEBRERO,24/2/2026,27/2/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CALZADO DURAMIL DE MEXICO,"HUUS, SA-WIFI-3U7Lite, CALZADO DURAMIL DE MEXICO, SITIO HUEHUETOCA","[SO56647] HUUS, SA-WIFI-3U7Lite, CALZADO DURAMIL DE MEXICO","1,300",,"1,300",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,WIFI ADMINISTRADO,,ON,,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"46,800.00",SÍ,2617757,,PENDIENTE PAGO,,
SO57133,LUMINET,FEBRERO,24/2/2026,,,KEVIN TORRES,ALEJANDRO ESPARZA,, MOTA-ENGIL MEXICO,"Luminet, SARE-CCTV_C4-MTY, MOTA-ENGIL MEXICO, AV. FRANCISCO I MADERO Y NUEVA ROSITA",,"111,463",,"111,463",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,LICENCIA,,N/A,,,GOBIERNO,OTRO,PROY. ESPECIAL,NO,0.00,NO,,,,,
SO57184,XCIEN,FEBRERO,26/2/2026,,,EDWIN GARZA,DANIEL GONZÁLEZ,,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, CDD, INTERMEX MANUFACTURA DE CHIHUAHUA, KELONG 2",,,"6,869","6,869",SÍ,NO,NO,,,,N/A,Mirasur,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO57109,HUUS,FEBRERO,26/2/2026,,,NANCY FUENTES,FRANCISCO VILLATORO,,RENT'S SOLUTION,"HUUS, CDD, RENT'S SOLUTION, SITIO: SAN LUIS POTOSI R",,,0,0,SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO47231,XCIEN,FEBRERO,26/2/2026,26/2/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,,INMOBILIARIA DEL VALLE DE SAN PEDRO,"Sandur, SID-20, INMOBILIARIA DEL VALLE DE SAN PEDRO, SITIO: CIENEGA DE FLORES.",,"2,799",,"2,799",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Rojas,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"67,176.00",SÍ,2679940,,PAGADA,3/3/2026,
SO57227,XCIEN,FEBRERO,26/2/2026,2/3/2026,SI,KEVIN TORRES,JORGE DE LA GARZA,CARLOS ALONSO,MEXKET,"Sandur, SIDP-500, MEXKET, Sitio Apodaca","[SO57227] Sandur, SIDP-500, MEXKET","30,000",,"30,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,500,ON,Pueblo Nuevo,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"1,080,000.00",SÍ,2679963,,PAGADA,18/3/2026,
SO57175,XCIEN,FEBRERO,26/2/2026,27/2/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,PARTIDO REVOLUCIONARIO INSTITUCIONAL,"Sandur, SIDP-100, PARTIDO REVOLUCIONARIO INSTITUCIONAL, PRI COSS. Piso 2",,"25,000",,"25,000",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,,,PENDIENTE ELABORACIÓN,,
SO56917,XCIEN,FEBRERO,26/2/2026,26/5/2026,SI,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO: YINLUN PLANTA 2 CIENEGA DE FLORES","[Offnet:SO56917] Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA","30,000",,"30,000",SÍ,NO,SÍ,DEDICADO,FIBRA ÓPTICA,500,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"1,080,000.00",SÍ,,,,,
SO56922,XCIEN,FEBRERO,26/2/2026,,PENDIENTE,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO: YINLUN PLANTA 3 CIENEGA DE FLORES","[Offnet:SO56922] Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA","30,000",,"30,000",SÍ,NO,SÍ,DEDICADO,FIBRA ÓPTICA,500,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"1,080,000.00",SÍ,,,,,
SO56745,XCIEN,FEBRERO,26/2/2026,27/3/2026,SI,EDWIN GARZA,GERARDO DE LA GARZA,JONATHAN TORRES,SEMINARIO DE MONTERREY NUEVO LEON,"Sandur, SVOZ-DID_ADI-N2P, SEMINARIO DE MONTERREY NUEVO LEON, SITIO: CENTRO VOCACIONAL HIDALGO","[SO56745] Sandur, SVOZ-DID_ADI-N2P, SEMINARIO DE MONTERREY NUEVO LEON",60,,60,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"2,160.00",SÍ,2681514,1/4/2026,PENDIENTE PAGO,,
SO57155,HUUS,FEBRERO,26/2/2026,24/3/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"INCREMENTO-HUUS, SIDP-500, DEREMATE.COM DE MEXICO, Sitio: Hidalgo FO MX13","[Offnet:SO57155] HUUS, SIDP-500, DEREMATE.COM DE MEXICO","9,088",,"9,088",SÍ,SÍ,NO,DEDICADO,FIBRA ÓPTICA,500,OFF,IENTC,36,EMPRESARIAL,DISTRIBUIDOR,UPGRADE,SÍ,"327,168.00",SÍ,,,,,
SO56918,XCIEN,FEBRERO,26/2/2026,,CANCELADA,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO: YINLUN PLANTA 2 CIENEGA DE FLORES","[SO56918] Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA","7,000",,"7,000",SÍ,NO,SÍ,DEDICADO,DEDICADO/AD,100,ON,Norte,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,CANCELADA,"252,000.00",SÍ,,,,,
SO56920,XCIEN,FEBRERO,26/2/2026,,CANCELADA,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO: YINLUN PLANTA 3 CIENEGA DE FLORES","[SO56920] Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA","7,000",,"7,000",SÍ,NO,SÍ,DEDICADO,DEDICADO/AD,100,ON,Norte,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,CANCELADA,"252,000.00",SÍ,,,,,
SO57240,XCIEN,FEBRERO,26/2/2026,5/3/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,ARRENDAMIENTOS SAR MW DE MEXICO,"Sandur, SIDP-40, ARRENDAMIENTOS SAR MW DE MEXICO, Sitio: TECNOCENTRO Cedis Walmart","[SO57240] Sandur, SIDP-40, ARRENDAMIENTOS SAR MW DE MEXICO","1,000",,"1,000",SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Rojas,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"36,000.00",SÍ,2679974,,PAGADA,20/3/2026,
SO57271,HUUS,FEBRERO,27/2/2026,10/3/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,MINERA REAL DE ANGELES,"HUUS, SIS-50-10-ilimitado, MINERA REAL DE ANGELES, SITIO: UNIDAD CORONEL, ZACATECAS","[SO57271] HUUS, SIS-50-10-ilimitado, MINERA REAL DE ANGELES","5,500",,"5,500",SÍ,NO,SÍ,SATELITAL,SATELITAL,50,OFF,Starlink,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"66,000.00",SÍ,2617768,,PENDIENTE PAGO,,
SO56923,XCIEN,FEBRERO,27/2/2026,,CANCELADA,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO YINLUN ret","[SO56923] Sandur, SIDP-100 + AD, INTERMEX MANUFACTURA DE CHIHUAHUA","4,601",,"4,601",SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,Norte,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,CANCELADA,"165,636.00",SÍ,,,,,
SO57010,HUUS,FEBRERO,27/2/2026,17/3/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,INSPECCIONES DEL NORTE SIMA,"HUUS, SIDP-20, INSPECCIONES DEL NORTE SIMA, SITIO: PESQUERIA","[SO57010] HUUS, SIDP-20, INSPECCIONES DEL NORTE SIMA","4,000",,"4,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Pesquería,24,EMPRESARIAL,DISTRIBUIDOR,PRIMERA VENTA,SÍ,"96,000.00",SÍ,,,PENDIENTE ELABORACIÓN,,
SO57050,XCIEN,FEBRERO,27/2/2026,5/3/2026,SI,EDWIN GARZA,ALEJANDRA TELLEZ,JONATHAN TORRES,INDUSTRIAS COSAL,"Sandur, SIDP-200 + AD, INDUSTRIAS COSAL, ATIZAPARK","[SO57050] Sandur, SIDP-200 + AD, INDUSTRIAS COSAL","15,999",,"15,999",SÍ,NO,SÍ,DEDICADO,DEDICADO/AD,200,ON,Barrientos II,36,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"575,964.00",SÍ,2679957,,PAGADA,17/3/2026,
SO57106,XCIEN,FEBRERO,27/2/2026,3/3/2026,SI,SERGIO ABREGO,ALEJANDRA TELLEZ,DANIEL GONZÁLEZ, HERIBERTO ESTEBAN ALAVEZ,"Sandur, SIDP-20, HERIBERTO ESTEBAN ALAVEZ, SANTA CATARINA","[SO57106] Sandur, SIDP-20, HERIBERTO ESTEBAN ALAVEZ","3,500",,"3,500",NO,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Sta. Catarina,36,EMPRESARIAL,DISTRIBUIDOR,PRIMERA VENTA,SÍ,"126,000.00",SÍ,2679953,,PENDIENTE PAGO,,
SO57127,XCIEN,FEBRERO,27/2/2026,7/3/2026,SI,EDWIN GARZA,ALEJANDRA TELLEZ,LEONARDO RODRÍGUEZ,TECNOLOGIA EN  SISTEMAS Y ENLACES,"Sandur, SID-20, TECNOLOGIA EN SISTEMAS Y ENLACES, CENTRAL GASOLINERA SAN GERONIMO","[SO57127] Sandur, SID-20, TECNOLOGIA EN SISTEMAS Y ENLACES",313,,313,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Pda,36,EMPRESARIAL,DISTRIBUIDOR,UPGRADE,SÍ,"11,257.20",SÍ,2679970,,PENDIENTE PAGO,,
SO56924,XCIEN,FEBRERO,27/2/2026,27/5/2026,SI,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO YINLUN ret","[Offnet:SO56924] Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA","30,000",,"30,000",SÍ,NO,SÍ,DEDICADO,FIBRA ÓPTICA,500,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"1,080,000.00",SÍ,,,,,
SO54977,HUUS,FEBRERO,28/2/2026,16/4/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"HUUS, SIDP-500, DEREMATE.COM DE MEXICO, Sitio: Tultepec","[SO54977] HUUS, SIDP-500, DEREMATE.COM DE MEXICO","11,332",,"11,332",SÍ,NO,NO,DEDICADO,DEDICADO,500,ON,San Mateo,36,EMPRESARIAL,DISTRIBUIDOR,UPGRADE,SÍ,"407,952.00",SÍ,,,,,
SO55681,HUUS,FEBRERO,28/2/2026,,CANCELADA,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,LOGIS SERVICIOS DE COMERCIO EXTERIOR,"HUUS, SIDP-50, LOGIS SERVICIOS DE COMERCIO EXTERIOR, SITIO: SLP","[Offnet:SO55681] HUUS, SIDP-50, LOGIS SERVICIOS DE COMERCIO EXTERIOR","10,445",,"10,445",SÍ,NO,SÍ,DEDICADO,DEDICADO,50,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,CANCELADA,"376,020.00",SÍ,,,,,
SO54827,LUMINET,FEBRERO,2/3/2026,4/3/2026,SI,FRANCISCO ALDAY,ROSA SOLÍS,JONATHAN TORRES,GC PISOS LASER,"Luminet, SIDP-100, GC PISOS LASER, OFICINAS SALTILLO","[SO54827] Luminet, SIDP-100, GC PISOS LASER","8,000",,"8,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,100,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"288,000.00",SÍ,,,,,
SO57096,XCIEN,MARZO,2/3/2026,6/3/2026,SI,SERGIO ABREGO,JORGE DE LA GARZA,LEONARDO RODRÍGUEZ,ALPHA ZINC,"Sandur, SIMP-30, ALPHA ZINC, Sitio: Garcia",,"2,200",,"2,200",NO,SÍ,SÍ,PYME,PYME,30,ON,Mitras,24,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"52,800.00",SÍ,2679962,,PENDIENTE PAGO,,
SO57244,LUMINET,MARZO,2/3/2026,2/3/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,GABRIEL CERDA VAZQUEZ,"Luminet, SIDP-30, GABRIEL CERDA VAZQUEZ, RB Buena Ventura",,"-10,200",,"-10,200",SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Carretera 57,12,EMPRESARIAL,EAC,DECREMENTO,NO,"-122,400.00",SÍ,2608118,,PENDIENTE PAGO,,
SO57177,LUMINET,MARZO,2/3/2026,,,EDWIN GARZA,DANIEL GONZÁLEZ,, MATERIALES ASESORIAS Y SERVICIOS,"Luminet, SST-S, MATERIALES ASESORIAS Y SERVICIOS, SITIO CENTRO COMUNITARIO GOBERNADORES",,,"3,428","3,428",SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,VISITA TÉCNICA,NO,0.00,NO,,,,,
SO57132,XCIEN,MARZO,2/3/2026,6/5/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,CCO LATAM,"Sandur, SIDP-1G, CCO LATAM, SITIO: CX MONTERREY","[SO57132] Sandur, SIDP-1G, CCO LATAM","32,000",,"32,000",NO,SÍ,SÍ,DEDICADO,FIBRA ÓPTICA,1000,ON,NN,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"1,152,000.00",SÍ,,,,,Entrega por medio de NN por FO
SO57131,XCIEN,MARZO,2/3/2026,6/5/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,CCO LATAM,"Sandur, SIDP-1G, CCO LATAM, SITIO: CX MONTERREY","[SO57131] Sandur, SIDP-1G, CCO LATAM",0,,0,SÍ,SÍ,NO,DEDICADO,DEDICADO,1000,ON,Loma Larga,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,0.00,SÍ,,,,,Redundancia pasiva por MO
SO50874,XCIEN,MARZO,3/3/2026,11/3/2026,SI,CECILIA NUÑEZ,DAVID REYES,IRIS RAMÍREZ,LatWan Europe OÜ,"Sandur, SIDP-100 + AD, LatWan Europe OÜ, Irapuato","[SO50874] Sandur, SIDP-100 + AD, LatWan Europe OÜ","3,000",,"3,000",SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,Cubilete,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"108,000.00",SÍ,2679975,,PENDIENTE PAGO,,
SO57302,XCIEN,MARZO,3/3/2026,7/3/2026,SI,CECILIA NUÑEZ,CLAUDIA NIETO,,EDILBERTO TORRES REYNA,"Sandur, SID-15, EDILBERTO TORRES REYNA, SITIO SAN PATRICIO",,,0,0,SÍ,NO,SÍ,DEDICADO,DEDICADO,15,ON,Huinala,,OTRO,OTRO,CORTESÍA,NO,0.00,S/D,2679959,,PAGADA,9/3/2026,Cortesía por negociación de renovación de RB Industrial Apodaca
SO57116,XCIEN,MARZO,3/3/2026,11/3/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,, FORTUNE PLASTIC METAL DE MEXICO,"Sandur, SIDP-150, FORTUNE PLASTIC METAL DE MEXICO, PARQUE INDUSTRIAL CIUDAD MITRAS",,"13,399",,"13,399",SÍ,NO,NO,DEDICADO,DEDICADO,150,ON,Mitras,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"321,576.00",SÍ,2679986,,PAGADA,18/3/2026,Renovación
SO57122,XCIEN,MARZO,3/3/2026,22/5/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,DANIEL GONZÁLEZ,DESPACHOS ADUANEROS GARBER,"Sandur, SIDP-100, DESPACHOS ADUANEROS GARBER, GARBER PLAZA AEROPUERTO",,"7,500",,"7,500",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Campanario,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"270,000.00",SÍ,,,,,Renovación
SO56554,XCIEN,MARZO,3/3/2026,11/3/2026,SI,CECILIA NUÑEZ,DAVID REYES,IRIS RAMÍREZ,CAL DE APASCO,"Sandur, SIS-50-10-ilimitado, CAL DE APASCO, CEDIS Santa Lucia","[SO56554] Sandur, SIS-50-10-ilimitado, CAL DE APASCO","5,500",,"5,500",SÍ,NO,SÍ,SATELITAL,SATELITAL,50,OFF,Starlink,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"198,000.00",ODC,,,PENDIENTE ELABORACIÓN,,
SO53910,LUMINET,MARZO,3/3/2026,20/3/2026,SI,CECILIA NUÑEZ,JULIO PUENTE,JONATHAN TORRES,COLEGIO INTERNACIONAL TERRANOVA,"Luminet, SIDP-100, COLEGIO INTERNACIONAL TERRANOVA, Sitio: Colegio Terranova","[SO53910] Luminet, SIDP-100, COLEGIO INTERNACIONAL TERRANOVA",960,,960,SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Edificio Eme,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"34,560.00",SÍ,2608431,1/4/2026,PENDIENTE PAGO,,
SO57461,XCIEN,MARZO,3/3/2026,14/4/2026,SI,SERGIO ABREGO,JUAN ESCAMILLA,DANIEL GONZÁLEZ,SEYCVEL,"Sandur, SDWAN Plus - 20, SEYCVEL, Sitio:Escobedo","[SO57461] Sandur, SDWAN Plus - 20, SEYCVEL","4,001",,"4,001",NO,SÍ,NO,SERVICIOS ADMINISTRADOS,WIFI ADMINISTRADO,20,ON,Sendero,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"48,012.00",SÍ,,,,,
SO56711,HUUS,MARZO,4/3/2026,10/3/2026,SI,NANCY FUENTES,MARIO LOMELÍ,,MARIA DE LOURDES CARRO GALVAN,"HUUS, SSICE, MARIA DE LOURDES CARRO GALVAN, CYMEC CORPORATIVO","[SO56711] HUUS, SSICE, MARIA DE LOURDES CARRO GALVAN",,"5,300","5,300",NO,SÍ,NO,DEDICADO,EVENTUAL,,ON,,,EMPRESARIAL,VENTA DIRECTA,VENTA DE EQUIPO,NO,0.00,NO,2617769,,PAGADA,23/3/2026,
SO57099,HUUS,MARZO,4/3/2026,6/4/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,ARRENDADORA Y SOLUCIONES DE NEGOCIOS,"INCREMENTO---HUUS, SIDP-200, ARRENDADORA Y SOLUCIONES DE NEGOCIOS, SITIO GUADALAJARA","[Offnet:SO57099] HUUS, SIDP-200, ARRENDADORA Y SOLUCIONES DE NEGOCIOS","1,800",,"1,800",SÍ,NO,NO,DEDICADO,DEDICADO,200,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"64,800.00",SÍ,,,,,
SO57323,XCIEN,MARZO,5/3/2026,12/3/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, CDD, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO KELONG",,,"6,869","6,869",SÍ,NO,NO,,,,ON,Mirasur,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,PENDIENTE ELABORACIÓN,,
SO57406,XCIEN,MARZO,5/3/2026,18/3/2026,SI,CECILIA NUÑEZ,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO ANKARA SALTILLO 7",,,0,0,SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2680028,,PAGADA,23/3/2026,
SO57399,LUMINET,MARZO,5/3/2026,5/3/2026,SI,,JULIO PUENTE,,INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES,"INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES, Blvd. Cesar H. Cantú Benavides 1465, Parque Industrial Alianza- Derramadero, Saltillo, Coah, México C.P. 25304",,,"18,000","18,000",SÍ,NO,NO,DEDICADO,EVENTUAL,200,ON,,,EMPRESARIAL,VENTA DIRECTA,EVENTUAL,NO,0.00,ODC,2608148,,PAGADA,23/3/2026,
SO56659,LUMINET,MARZO,6/3/2026,23/3/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,IRIS RAMÍREZ,INSTITUTO REGISTRAL Y CATASTRAL DEL ESTADO DE COAHUILA DE ZARAGOZA,"Luminet, SIDP-100, INSTITUTO REGISTRAL Y CATASTRAL DEL ESTADO DE COAHUILA DE ZARAGOZA, CENTRO DE OFICINAS Y ALMACENAMIENTO",,"2,222",,"2,222",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Saltillo Oriente,12,GOBIERNO,OTRO,UPGRADE,SÍ,"26,664.00",S/D,2608169,,PENDIENTE PAGO,,
SO56497,XCIEN,MARZO,9/3/2026,14/3/2026,SI,SERGIO ABREGO,PEDRO PAEZ,CARLOS ALONSO,CARNES SELECTA LOS ANGELES,"Sandur, SIDP-100 + AD, CARNES SELECTA LOS ANGELES, SITIO: SUC LOS ANGELES","[SO56497] Sandur, SIDP-100 + AD, CARNES SELECTA LOS ANGELES","7,000",,"7,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,100,ON,PDA,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"252,000.00",SÍ,2680029,,PENDIENTE PAGO,,
SO56210,XCIEN,MARZO,9/3/2026,9/3/2026,SI,SERGIO ABREGO,JAIME GARZA,CARLOS ALONSO,CENTRO DE INSPECCION FISICO-MECANICA DE CUAUTITLAN,"Sandur, SIDP-30, CENTRO DE INSPECCION FISICO-MECANICA DE CUAUTITLAN, SIT: OFICINAS VERIFICENTRO","[SO56210] Sandur, SIDP-30, CENTRO DE INSPECCION FISICO-MECANICA DE CUAUTITLAN",800,,800,SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Coyotepec,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"28,800.00",SÍ,2679976,,PENDIENTE PAGO,,
SO57421,XCIEN,MARZO,9/3/2026,1/4/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,JONATHAN TORRES,DISTRIBUIDORA DE METALES Y CARTONES,"Sandur, SIDP-50, DISTRIBUIDORA DE METALES Y CARTONES, SITIO APODACA","[SO57421] Sandur, SIDP-50, DISTRIBUIDORA DE METALES Y CARTONES","3,800",,"3,800",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Sta. Rosa,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"136,800.00",SÍ,,,,,
SO57419,XCIEN,MARZO,9/3/2026,10/3/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,JONATHAN TORRES,DISTRIBUIDORA DE METALES Y CARTONES,"Sandur, SIDP-50, DISTRIBUIDORA DE METALES Y CARTONES, SITIO DIMECA MONCLOVA 2","[SO57419] Sandur, SIDP-50, DISTRIBUIDORA DE METALES Y CARTONES","3,000",,"3,000",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Monclova,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"108,000.00",SÍ,2679977,,PENDIENTE PAGO,,
SO57418,XCIEN,MARZO,9/3/2026,14/3/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,JONATHAN TORRES,DISTRIBUIDORA DE METALES Y CARTONES,"Sandur, SIDP-100, DISTRIBUIDORA DE METALES Y CARTONES, SITIO SANTA CATARINA","[SO57418] Sandur, SIDP-100, DISTRIBUIDORA DE METALES Y CARTONES","3,375",,"3,375",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Sta. Catarina,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"121,500.00",SÍ,2680026,,PENDIENTE PAGO,,
SO57417,XCIEN,MARZO,9/3/2026,19/3/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,JONATHAN TORRES,DISTRIBUIDORA DE METALES Y CARTONES,"Sandur, SIDP-250, DISTRIBUIDORA DE METALES Y CARTONES, SITIO DIMECA LOPEZ MATEOS","[SO57417] Sandur, SIDP-250, DISTRIBUIDORA DE METALES Y CARTONES","3,700",,"3,700",SÍ,NO,NO,DEDICADO,DEDICADO,250,ON,Guadalupe,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"133,200.00",SÍ,2680034,,PENDIENTE PAGO,,
SO57416,XCIEN,MARZO,9/3/2026,13/3/2026,SI,CECILIA NUÑEZ,GERARDO DE LA GARZA,JONATHAN TORRES,DISTRIBUIDORA DE METALES Y CARTONES,"Sandur, SIDP-300, DISTRIBUIDORA DE METALES Y CARTONES, SITIO SALTILLO","[SO57416] Sandur, SIDP-300, DISTRIBUIDORA DE METALES Y CARTONES","2,500",,"2,500",SÍ,NO,NO,DEDICADO,DEDICADO,300,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"90,000.00",SÍ,2680027,,PENDIENTE PAGO,,
SO57274,XCIEN,MARZO,9/3/2026,,,EDWIN GARZA,JONATHAN TORRES,JONATHAN TORRES,INDUSTRIAS COSAL,"Sandur, SSA-70F-UTP, INDUSTRIAS COSAL, LOMAS DE SAN LORENZO",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,LICENCIA,,OFF,,12,EMPRESARIAL,EAC,RENOVACIÓN,NO,0.00,NO,,,,,
SO57465,XCIEN,MARZO,9/3/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO CONSTANZA 6",,,0,0,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
